ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
428,ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,51649,62990,18,0,0,0
431,DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,74500,78990,5,4.4,45,5
432,DELL,XPS,Intel,Core i5,11th,16,LPDDR4X,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,114990,115729,0,0,0,0
433,HP,Core,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,41990,47264,11,4,69,5
434,DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,ThinNlight,14,0,No,No,61990,68859,9,4.1,35,4
435,ASUS,ROG,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,4,Casual,15.6,0,No,No,82990,107990,23,4.5,844,118
437,APPLE,MacBook,Intel,Core i5,10th,16,LPDDR4X,512,0,Mac,64,0,Casual,13,1,No,No,159990,174900,8,4.4,32,5
438,ASUS,VivoBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,46990,55990,16,4,1444,179
439,APPLE,MacBook,Intel,Core i5,8th,8,DDR3,512,0,Mac,64,0,Casual,13.3,1,No,No,172090,179900,4,4.2,108,13
441,Lenovo,Core,Intel,Core i7,11th,16,DDR4,512,0,Windows,32,0,Casual,14,0,Yes,No,88488,96995,8,0,0,0
444,MSI,Prestige,Intel,Core i7,10th,16,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,109990,134990,18,4.3,138,30
445,MSI,Sword,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,74990,95990,21,0,0,0
447,ASUS,Core,Intel,Core i7,10th,32,DDR4,1024,0,Windows,64,6,Casual,15.6,1,Yes,No,224990,272990,17,4.7,9,0
450,MSI,Modern,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,56490,57240,1,4.5,814,112
451,ASUS,Core,Intel,Core i5,10th,8,DDR4,256,1024,Windows,32,2,Casual,15.6,0,No,No,58990,67990,13,5,1,1
456,MSI,Sword,Intel,Core i7,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,86990,107990,19,0,0,0
